yyyy/mmdd(or -ddd)/hh.h):2000/ 101/ 6.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 482823.4   NmF1=      0.0   NmE=  64604.2
Peak Heights/km:     hmF2=   289.85   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              81.3
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  15.4  70
  60.0      -1 -1.000   247   247   247  -1  -1  -1  -1  -1  -1  -1  15.4  70
  65.0      18  0.000   232   232   232  -1  -1  -1  -1  -1  -1  -1  15.4  70
  70.0      96  0.000   218   218   218  -1  -1  -1  -1  -1  -1  -1  15.4  70
  75.0     235  0.000   204   204   204  -1  -1  -1  -1  -1  -1  -1  15.4  70
  80.0     358  0.001   187   187   187   0   0   0   0   3 997  -1  15.4  70
  85.0     545  0.001   173   173   173   0   0   0   0   5 995  -1  15.4  70
  90.0    5198  0.011   166   166   166   0   0   0   0  48 952  -1  15.4  70
